epoch,step,tf32_enabled,train_loss_epoch/forces_mse,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/forces_mse,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,val0_epoch/forces_mae,val0_epoch/forces_maxabserr,val0_epoch/forces_rmse,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_maxabserr,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_maxabserr,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
0,9,,,,,63.40833168863303,15.413848260417478,39.411089974525254,,,,,,,,,,
0,19,,,,,16.341162823675365,9.950130919970972,13.145646871823168,,,,,,,,,,
0,29,,,,,6.840471984384621,4.631586383417565,5.736029183901093,,,,,,,,,,
0,39,,,,,1.5388161704571643,0.9002154650118837,1.219515817734524,,,,,,,,,,
0,49,,,,,1.5641731475115321,0.01204245890225674,0.7881078032068944,,,,,,,,,,
0,59,,,,,0.7909704652584477,0.001365635981117423,0.39616805061978255,,,,,,,,,,
0,69,,,,,0.8610669158504702,0.029179994018619308,0.44512345493454475,,,,,,,,,,
0,79,,,,,0.6448518783316155,0.011922958915420667,0.32838741862351806,,,,,,,,,,
0,89,,,,,0.5742131923687644,0.012040372188813611,0.293126782278789,,,,,,,,,,
0,99,,,,,0.555491568357415,0.007658264408770493,0.28157491638309273,,,,,,,,,,
0,109,,,,,0.46530229196977635,0.008105693384078988,0.23670399267692765,,,,,,,,,,
0,119,,,,,0.3735037301888426,0.005487600832413482,0.18949566551062805,,,,,,,,,,
0,129,,,,,0.37738168762242824,0.006494813848379687,0.19193825073540396,,,,,,,,,,
0,139,,,,,0.33717452111651675,0.008219661910057728,0.17269709151328724,,,,,,,,,,
0,149,,,,,0.29920438171044894,0.0003168204925499106,0.1497606011014994,,,,,,,,,,
0,159,,,,,0.33415448369217826,0.009861634166872977,0.17200805892952561,,,,,,,,,,
0,169,,,,,0.2526017564031389,0.0010659584671245316,0.12683385743513173,,,,,,,,,,
0,179,,,,,0.3224860496418743,0.01310166408791535,0.1677938568648948,,,,,,,,,,
0,189,,,,,0.225814717632087,0.0033277677404465753,0.11457124268626678,,,,,,,,,,
0,199,,,,,0.2604516618451579,0.003950619788484781,0.13220114081682133,,,,,,,,,,
0,209,,,,,0.26566841987484335,0.00993847213091642,0.1378034460028799,,,,,,,,,,
0,219,,,,,0.21479469156433825,0.006374777385874358,0.1105847344751063,,,,,,,,,,
0,229,,,,,0.2595646285261087,0.011959513242477411,0.13576207088429304,,,,,,,,,,
0,239,,,,,0.1911468147637784,0.00019706226819805303,0.09567193851598822,,,,,,,,,,
0,249,,,,,0.1746213104538791,0.0007486442418608355,0.08768497734786997,,,,,,,,,,
