Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1687.819    -1687.819        0.000     0.0
0.0010        -1687.912    -1689.120        1.208    28.8
0.0020        -1688.067    -1691.171        3.104    74.1
0.0030        -1687.997    -1691.523        3.527    84.2
0.0040        -1687.823    -1690.482        2.658    63.5
0.0050        -1687.728    -1690.513        2.785    66.5
0.0060        -1687.859    -1692.244        4.385   104.7
0.0070        -1687.951    -1693.347        5.396   128.8
0.0080        -1687.877    -1692.468        4.591   109.6
0.0090        -1687.765    -1691.003        3.238    77.3
0.0100        -1687.753    -1691.212        3.460    82.6
0.0110        -1687.826    -1692.819        4.993   119.2
0.0120        -1687.831    -1693.681        5.850   139.7
0.0130        -1687.717    -1693.110        5.393   128.8
0.0140        -1687.591    -1692.607        5.017   119.8
0.0150        -1687.658    -1693.467        5.808   138.7
0.0160        -1687.772    -1694.494        6.721   160.5
0.0170        -1687.693    -1694.081        6.389   152.5
0.0180        -1687.583    -1692.577        4.994   119.2
0.0190        -1687.498    -1691.730        4.232   101.1
0.0200        -1687.558    -1692.166        4.608   110.0
0.0210        -1687.582    -1692.709        5.127   122.4
0.0220        -1687.524    -1692.518        4.994   119.3
0.0230        -1687.417    -1692.149        4.732   113.0
0.0240        -1687.422    -1692.607        5.185   123.8
0.0250        -1687.571    -1693.644        6.073   145.0
0.0260        -1687.520    -1694.051        6.531   155.9
0.0270        -1687.443    -1693.423        5.981   142.8
0.0280        -1687.345    -1692.705        5.360   128.0
0.0290        -1687.342    -1692.656        5.313   126.9
0.0300        -1687.309    -1692.851        5.543   132.3
0.0310        -1687.278    -1692.682        5.404   129.0
0.0320        -1687.169    -1692.380        5.210   124.4
0.0330        -1687.169    -1692.501        5.332   127.3
0.0340        -1687.193    -1693.173        5.980   142.8
0.0350        -1687.241    -1693.823        6.582   157.2
0.0360        -1687.216    -1693.860        6.644   158.6
0.0370        -1687.134    -1693.552        6.419   153.3
0.0380        -1687.186    -1693.370        6.184   147.7
0.0390        -1687.168    -1693.253        6.085   145.3
0.0400        -1687.156    -1693.019        5.863   140.0
0.0410        -1687.163    -1692.800        5.637   134.6
0.0420        -1687.081    -1692.833        5.752   137.4
0.0430        -1687.066    -1693.159        6.092   145.5
0.0440        -1687.066    -1693.643        6.577   157.0
0.0450        -1687.082    -1694.056        6.974   166.5
0.0460        -1687.132    -1694.251        7.119   170.0
0.0470        -1687.068    -1694.215        7.147   170.7
0.0480        -1687.077    -1694.062        6.985   166.8
0.0490        -1687.042    -1693.892        6.850   163.6
0.0500        -1686.956    -1693.688        6.732   160.7
0.0510        -1686.857    -1693.479        6.622   158.1
0.0520        -1686.753    -1693.385        6.632   158.4
0.0530        -1686.693    -1693.426        6.733   160.8
0.0540        -1686.662    -1693.650        6.988   166.8
0.0550        -1686.693    -1693.976        7.283   173.9
0.0560        -1686.659    -1694.058        7.399   176.7
0.0570        -1686.551    -1693.825        7.273   173.7
0.0580        -1686.552    -1693.605        7.053   168.4
0.0590        -1686.668    -1693.484        6.816   162.8
0.0600        -1686.687    -1693.269        6.582   157.2
0.0610        -1686.642    -1692.983        6.341   151.4
0.0620        -1686.628    -1692.793        6.165   147.2
0.0630        -1686.635    -1692.781        6.146   146.8
0.0640        -1686.697    -1693.145        6.448   154.0
0.0650        -1686.735    -1693.644        6.909   165.0
0.0660        -1686.691    -1693.854        7.163   171.0
0.0670        -1686.663    -1693.856        7.192   171.7
0.0680        -1686.637    -1693.913        7.276   173.7
0.0690        -1686.626    -1693.921        7.295   174.2
