Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1695.036    -1695.036        0.000     0.0
0.0010        -1695.123    -1696.375        1.252    29.9
0.0020        -1695.268    -1698.455        3.187    76.1
0.0030        -1695.170    -1698.760        3.590    85.7
0.0040        -1694.909    -1697.644        2.735    65.3
0.0050        -1694.849    -1697.799        2.950    70.4
0.0060        -1695.006    -1699.703        4.697   112.2
0.0070        -1695.041    -1700.731        5.691   135.9
0.0080        -1694.908    -1699.651        4.743   113.2
0.0090        -1694.644    -1698.148        3.504    83.7
0.0100        -1694.649    -1698.538        3.889    92.9
0.0110        -1694.808    -1700.284        5.477   130.8
0.0120        -1694.869    -1701.053        6.184   147.7
0.0130        -1694.721    -1700.329        5.608   133.9
0.0140        -1694.594    -1699.830        5.237   125.0
0.0150        -1694.696    -1700.800        6.105   145.8
0.0160        -1694.735    -1701.840        7.105   169.7
0.0170        -1694.656    -1701.267        6.612   157.9
0.0180        -1694.491    -1699.683        5.192   124.0
0.0190        -1694.435    -1698.988        4.552   108.7
0.0200        -1694.511    -1699.615        5.104   121.9
0.0210        -1694.556    -1700.187        5.631   134.5
0.0220        -1694.432    -1699.878        5.446   130.0
0.0230        -1694.292    -1699.476        5.184   123.8
0.0240        -1694.294    -1700.036        5.742   137.1
0.0250        -1694.435    -1701.107        6.672   159.3
0.0260        -1694.375    -1701.332        6.957   166.1
0.0270        -1694.298    -1700.517        6.219   148.5
0.0280        -1694.233    -1699.825        5.592   133.5
0.0290        -1694.288    -1699.888        5.599   133.7
0.0300        -1694.284    -1700.161        5.876   140.3
0.0310        -1694.248    -1700.059        5.811   138.8
0.0320        -1694.145    -1699.761        5.616   134.1
0.0330        -1694.164    -1699.937        5.773   137.8
0.0340        -1694.197    -1700.724        6.526   155.8
0.0350        -1694.223    -1701.225        7.002   167.2
0.0360        -1694.146    -1700.985        6.839   163.3
0.0370        -1694.052    -1700.551        6.499   155.2
0.0380        -1694.010    -1700.400        6.390   152.6
0.0390        -1694.011    -1700.392        6.381   152.4
0.0400        -1693.957    -1700.259        6.302   150.5
0.0410        -1693.900    -1699.977        6.077   145.1
0.0420        -1693.853    -1699.901        6.048   144.4
0.0430        -1693.831    -1700.345        6.514   155.5
0.0440        -1693.819    -1700.964        7.145   170.6
0.0450        -1693.836    -1701.200        7.364   175.8
0.0460        -1693.740    -1701.101        7.361   175.8
